length,stepDistr,stepMu,stepSD,angleMu,angleSD,noiseAngle,noiseXY,smoothW
1000,1,10,3,30,1,0,0,0
1000,1,10,3,40,1,0,0,0
1000,1,10,3,50,1,0,0,0
2000,1,10,3,50,1,0,0,0
4000,1,10,3,50,1,0,0,0
8000,1,10,3,50,1,0,0,0
1000,1,10,3,60,1,0,0,0
1000,1,10,3,70,1,0,0,0
1000,1,10,3,30,5,0,0,0
1000,1,10,3,50,5,0,0,0
1000,1,10,3,70,5,0,0,0
1000,1,10,3,30,10,0,0,0
1000,1,10,3,50,10,0,0,0
1000,1,10,3,70,10,0,0,0
1000,1,10,3,30,15,0,0,0
1000,1,10,3,50,15,0,0,0
1000,1,10,3,70,15,0,0,0
1000,1,10,3,30,25,0,0,0
1000,1,10,3,50,25,0,0,0
1000,1,10,3,70,25,0,0,0
1000,1,10,3,30,1,5,0,0
1000,1,10,3,50,1,5,0,0
1000,1,10,3,70,1,5,0,0
1000,1,10,3,30,1,10,0,0
1000,1,10,3,50,1,10,0,0
1000,1,10,3,70,1,10,0,0
1000,1,10,3,30,1,15,0,0
1000,1,10,3,50,1,15,0,0
1000,1,10,3,70,1,15,0,0
1000,1,10,3,30,1,25,0,0
1000,1,10,3,50,1,25,0,0
1000,1,10,3,70,1,25,0,0
1000,1,10,3,30,1,0,0,10
1000,1,10,3,40,1,0,0,10
1000,1,10,3,50,1,0,0,10
1000,1,10,3,60,1,0,0,10
1000,1,10,3,70,1,0,0,10
1000,1,10,3,30,1,0,0,20
1000,1,10,3,40,1,0,0,20
1000,1,10,3,50,1,0,0,20
1000,1,10,3,60,1,0,0,20
1000,1,10,3,70,1,0,0,20
1000,1,10,3,30,1,0,0,30
1000,1,10,3,40,1,0,0,30
1000,1,10,3,50,1,0,0,30
1000,1,10,3,60,1,0,0,30
1000,1,10,3,70,1,0,0,30
