res_id,paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
1,1,1,interval,1,1.08791208791209,0.97861623110452,0.682322217876422,11.7071597120857,0.98850124353992,0.0442901319459287
2,1,2,interval,1,1.1123595505618,0.978021202289159,0.720859767868746,10.7771840060929,0.987900204332483,0.045903886893385
3,1,3,interval,1,1.07608695652174,0.978587395291561,0.70024250668857,10.9482258649822,0.988472116456122,0.0455568131005392
4,1,4,interval,1,1.03125,0.979630481557587,0.704683809398972,10.1699264594289,0.989525738947057,0.0444327146692416
5,1,5,interval,1,1.01020408163265,0.978409753982081,0.721052871833614,10.3244237041329,0.98829268078998,0.0474233343425963
6,1,6,interval,1,1.06451612903226,0.979512617553809,0.716506825523238,10.519062960335,0.989406684397787,0.0474102838405626
7,1,7,interval,1,1.04210526315789,0.977953303081518,0.732647439584776,10.944020215631,0.987831619274261,0.0435499278934828
8,1,8,interval,1,1.02061855670103,0.979017314033889,0.734450398509073,10.6302200843627,0.98890637781201,0.0447123977877145
9,1,9,interval,1,1.0531914893617,0.982134775570294,0.752640620654371,10.061415241742,0.992055328858883,0.0399980510321394
10,1,10,interval,1,1.03125,0.980331255784896,0.764807546141959,10.9041491301045,0.990233591701915,0.0439330045705346
11,1,1,interval,2,0.725274725274725,0.967579136884885,0.800411450884612,16.1885195352774,1.46602899528013,0.0729093199684318
12,1,2,interval,2,0.741573033707865,0.966813340985297,0.874510099421313,16.2739034747225,1.46486869846257,0.0746972919849459
13,1,3,interval,2,0.717391304347826,0.968822489480782,0.802265621313362,16.2359197209542,1.46791286284967,0.0900508425899338
14,1,4,interval,2,0.6875,0.967387678869795,0.748184297615072,13.7666255549327,1.46573890737848,0.0590825667461596
15,1,5,interval,2,0.673469387755102,0.967167439219458,0.871023964188969,15.1610044904459,1.46540521093857,0.0568453312207942
16,1,6,interval,2,0.709677419354839,0.967856035186566,0.723814147109931,14.3325765606759,1.46644853816146,0.07902900747641
17,1,7,interval,2,0.694736842105263,0.966452961199097,0.833477847168541,17.0447478840448,1.46432266848348,0.0765272431226778
18,1,8,interval,2,0.680412371134021,0.969294600396746,0.848465227923982,16.3278889237327,1.46862818241931,0.0531987798415873
19,1,9,interval,2,0.702127659574468,0.968647722934264,0.793663323804634,15.8510978156572,1.46764806505192,0.0639520863103306
20,1,10,interval,2,0.6875,0.964791624557186,0.820725377109795,15.9911612192422,1.46180549175331,0.0734811004048095
21,1,1,interval,3,0.538461538461538,0.960751231939697,0.956472759642904,20.4949131947552,1.96071679987693,0.112821776188015
22,1,2,interval,3,0.550561797752809,0.956859066571018,1.02830666518866,20.1888443176372,1.95277360524697,0.123054346137875
23,1,3,interval,3,0.532608695652174,0.959856763650031,0.88691039945763,19.7957367738094,1.95889135438782,0.111687894900382
24,1,4,interval,3,0.510416666666667,0.95855679088582,0.795677990656001,16.3966165379395,1.95623834874657,0.117681547995568
25,1,5,interval,3,0.5,0.959581493259855,1.01732415146712,21.0000703193156,1.95832957808134,0.0915760711320501
26,1,6,interval,3,0.526881720430108,0.958319282679597,0.725774009279566,16.4801504349682,1.95575363812163,0.141987712772522
27,1,7,interval,3,0.515789473684211,0.95684380357641,0.939400242124311,22.8514606462493,1.95274245627839,0.13163932190044
28,1,8,interval,3,0.505154639175258,0.957852483962083,0.979375563729292,18.6755009631798,1.95480098767772,0.118767401174895
29,1,9,interval,3,0.521276595744681,0.959000308346167,0.93887673048874,19.8031396205081,1.95714348642075,0.120551940292087
30,1,10,interval,3,0.510416666666667,0.958191454134093,0.921745371581884,20.9654539094386,1.95549276353897,0.132883621062772
31,1,1,interval,4,0.428571428571429,0.947445095815373,0.988880569281159,24.4022252169774,2.4293463995266,0.231434577704881
32,1,2,interval,4,0.438202247191011,0.951017174742082,1.20264007428324,24.3916090946121,2.43850557626175,0.193422164065827
33,1,3,interval,4,0.423913043478261,0.944691071404225,0.962389763218995,20.0801534974104,2.42228479847237,0.237180169271211
34,1,4,interval,4,0.40625,0.95047913897865,0.841795225509809,19.5105198388984,2.43712599738115,0.190931094830725
35,1,5,interval,4,0.397959183673469,0.943775280659218,1.15595150888574,21.2389525294648,2.41993661707492,0.255470726676634
36,1,6,interval,4,0.419354838709677,0.946257786372976,0.680401518819638,18.7508414304226,2.42630201634096,0.209740280815028
37,1,7,interval,4,0.410526315789474,0.947312161123454,1.08033836752384,24.5639226638856,2.42900554134219,0.229941373262304
38,1,8,interval,4,0.402061855670103,0.942350991554443,0.979325773210403,22.879891768736,2.41628459372934,0.193745547256334
39,1,9,interval,4,0.414893617021277,0.94793711934941,0.970351815163936,23.2867295220001,2.43060799833182,0.189137620063376
40,1,10,interval,4,0.40625,0.939120531978489,0.972275002701933,18.4100967290279,2.40800136404741,0.268515915175128
41,1,1,interval,5,0.362637362637363,0.936581640279613,1.12945090537559,23.0179001829769,2.8381261826655,0.344024877811929
42,1,2,interval,5,0.370786516853933,0.927602680237012,1.24494663667802,27.5849782601514,2.81091721283943,0.415354329887193
43,1,3,interval,5,0.358695652173913,0.939815790270686,1.02578449214611,22.2939272980691,2.8479266371839,0.351901899566411
44,1,4,interval,5,0.34375,0.943525511653813,0.918163900735581,21.5861017060699,2.85916821713277,0.236582691832217
45,1,5,interval,5,0.336734693877551,0.933087636497641,1.23768463182889,25.3043221120473,2.82753829241709,0.285765614344697
46,1,6,interval,5,0.354838709677419,0.948564779066544,0.808005717663097,20.3447033816791,2.87443872444407,0.318864372573581
47,1,7,interval,5,0.347368421052632,0.927480318328324,1.10579475230915,26.6928485899497,2.81054641917674,0.397571444041861
48,1,8,interval,5,0.34020618556701,0.937800682363567,1.15683100534171,24.8480953067135,2.84182024958657,0.283665309617735
49,1,9,interval,5,0.351063829787234,0.939227474131946,1.0808253951278,24.6892913869589,2.8461438610059,0.317102096297214
50,1,10,interval,5,0.34375,0.932829053872493,1.05308378647409,23.0067241623503,2.82675470870452,0.358843663687226
51,1,1,local,1,1,0.988982460378165,0.906318205373126,5.35647291489521,1.08679391250348,1.17412585960867
52,1,2,local,1,1,0.989140459216312,0.925316533879845,2.96526704258449,1.11139377440035,0.940439631179847
53,1,3,local,1,1,0.988858140135973,0.902771204923344,5.3845361747864,1.07484580449562,1.07060790447761
54,1,4,local,1,1,0.988478639400149,0.88657433352134,3.5652299501085,1.02966524937516,0.987379122861173
55,1,5,local,1,1,0.988248833843196,0.898479875565878,3.51894333984498,1.00841717739102,0.848428875409513
56,1,6,local,1,1,0.98884512162743,0.889637715447547,3.58992748561162,1.06327432433057,1.02749774383567
57,1,7,local,1,0.989473684210526,0.988429129576709,0.906550575820191,3.50437661188027,1.05152035061352,0.917169115647909
58,1,8,local,1,1,0.988396704532687,0.896147414373938,3.71085651506237,1.01896567477597,0.908612929214033
59,1,9,local,1,1,0.988690687303228,0.891315447026336,3.39023268290971,1.05179860351407,0.899772027189311
60,1,10,local,1,1,0.988519713871593,0.904969069437118,5.43195468661529,1.02970803528291,1.0143006821785
61,1,1,local,2,0.978021978021978,0.98793909267978,0.914989347488833,6.30129853912649,1.1100439243593,1.22312250057656
62,1,2,local,2,0.98876404494382,0.988431589577332,0.923873962199568,3.81462101962448,1.12321771542879,1.06118097707314
63,1,3,local,2,0.978260869565217,0.987734785722595,0.906402010010136,6.20152701609342,1.09748309524733,1.31820625343574
64,1,4,local,2,0.96875,0.986749712018011,0.891226730607341,4.90192481663281,1.06102119571829,1.22476010639801
65,1,5,local,2,0.979591836734694,0.987505244265483,0.900939100482567,4.40135179825195,1.02865129610988,0.901684206941912
66,1,6,local,2,0.978494623655914,0.987965168782105,0.892974623516202,4.80111606851229,1.08567600965067,1.10368417578594
67,1,7,local,2,0.978947368421053,0.988119684489648,0.908618314731517,3.89173929369909,1.06249428439747,0.951309180049083
68,1,8,local,2,0.989690721649485,0.98799352928605,0.897235295224399,4.24929676986387,1.02915992633964,0.977573849506118
69,1,9,local,2,1,0.988690687303228,0.891315447026336,3.39023268290971,1.05179860351407,0.899772027189311
70,1,10,local,2,0.979166666666667,0.987199461182706,0.906519820629159,6.29975795010874,1.05021219274756,1.24261604493307
71,1,1,local,3,0,0.210274697956951,NaN,NaN,Inf,NaN
72,1,2,local,3,0,0.181605757426659,NaN,NaN,Inf,NaN
73,1,3,local,3,0,0.592049971952019,NaN,NaN,Inf,NaN
